"Hospital Location","Insurance","Surgery","Category","Unit","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Gyeongnam","Medical Benefit","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Count[Unit]","Surgery","","","","109","115","84","91","77","52","71","62","55","68","76","54","54","44",
"Gyeongnam","Medical Benefit","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Received Person[Person]","Person","67","71","58","7","20","10","8","4","4","5","9","7","2","2","2","1","6",
"Gyeongnam","Medical Benefit","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Count[Unit]","Surgery","68","77","59","7","22","10","8","4","4","5","9","7","2","2","2","1","6",
"Gyeongnam","Medical Benefit","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Received Person[Person]","Person","","","","","","","","","","","","","","","","","2",
"Gyeongnam","Medical Benefit","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Count[Unit]","Surgery","","","","","","","","","","","","","","","","","2",
"Jeju","Total","Total","Surgery Received Person[Person]","Person","11173","12179","11583","12922","12851","12694","14175","14177","14567","14984","15764","15964","16379","17056","16289","16460","15546",
"Jeju","Total","Total","Surgery Count[Unit]","Surgery","12019","13387","12849","14369","14157","14092","15746","15834","16420","16945","17869","18125","18783","19583","18900","19439","18141",
"Jeju","Total","Cataract surgery - 백내장 수술","Surgery Received Person[Person]","Person","1638","1879","2191","2418","2465","3014","2913","3211","3540","3710","3846","4083","4514","4780","4958","5075","4596",
"Jeju","Total","Cataract surgery - 백내장 수술","Surgery Count[Unit]","Surgery","1973","2413","2920","3118","3142","3834","3849","4248","4739","5003","5278","5562","6225","6632","6871","7216","6382",
"Jeju","Total","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Received Person[Person]","Person","502","481","442","434","520","474","464","583","423","532","839","713","665","873","649","390","340",
"Jeju","Total","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Count[Unit]","Surgery","503","482","443","437","522","479","467","590","425","532","844","720","668","881","650","391","342",
"Jeju","Total","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Received Person[Person]","Person","50","65","52","59","68","62","80","78","95","83","89","99","90","83","86","96","110",
"Jeju","Total","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Count[Unit]","Surgery","51","67","54","61","69","63","82","78","96","88","92","103","98","84","86","96","116",
"Jeju","Total","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Received Person[Person]","Person","376","373","355","424","483","523","686","620","674","610","730","776","630","680","702","713","700",
"Jeju","Total","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Count[Unit]","Surgery","390","386","370","433","493","533","718","628","693","624","762","807","645","690","724","736","739",
"Jeju","Total","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Received Person[Person]","Person","0","23","19","16","23","11","15","11","10","7","14","12","8","5","11","12","6",
"Jeju","Total","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Count[Unit]","Surgery","0","23","19","16","23","11","15","11","10","7","14","12","9","5","11","12","6",
"Jeju","Total","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Received Person[Person]","Person","7","7","8","26","14","18","3","5","4","4","7","2","1","2","5","8","11",
"Jeju","Total","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Count[Unit]","Surgery","7","7","8","28","14","18","3","5","4","4","7","2","1","2","5","8","11",
"Jeju","Total","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Received Person[Person]","Person","277","362","42","228","244","187","195","221","205","208","251","301","320","262","229","221","163",
"Jeju","Total","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Count[Unit]","Surgery","312","406","56","246","258","195","206","223","209","213","262","313","335","269","233","226","164",
"Jeju","Total","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Received Person[Person]","Person","1174","1312","1231","1314","1128","1048","1083","1196","1279","1212","1128","1112","1023","994","1026","1019","980",
"Jeju","Total","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Count[Unit]","Surgery","1174","1318","1232","1314","1129","1065","1084","1197","1281","1212","1131","1123","1038","996","1051","1050","1008",
"Jeju","Total","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Received Person[Person]","Person","85","106","63","44","45","63","127","113","135","148","126","125","138","167","198","232","221",
"Jeju","Total","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Count[Unit]","Surgery","85","106","63","44","46","64","127","116","139","156","130","130","144","169","203","237","231",
"Jeju","Total","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Received Person[Person]","Person","353","358","365","458","435","411","495","553","606","710","694","710","751","777","852","894","833",
"Jeju","Total","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Count[Unit]","Surgery","353","362","365","460","436","411","498","553","607","711","699","710","754","782","868","904","843",
"Jeju","Total","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Received Person[Person]","Person","168","191","237","280","241","214","376","356","351","322","331","337","334","322","342","518","464",
"Jeju","Total","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Count[Unit]","Surgery","178","204","259","334","262","238","448","435","417","393","395","418","394","367","397","633","577",
"Jeju","Total","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Received Person[Person]","Person","275","296","284","278","286","315","255","273","249","273","313","253","267","332","248","288","307",
"Jeju","Total","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Count[Unit]","Surgery","276","304","288","281","290","322","255","277","253","275","314","261","275","335","257","293","311",
"Jeju","Total","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Received Person[Person]","Person","6","1","11","36","23","22","41","29","42","42","43","35","58","88","80","86","79",
"Jeju","Total","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Count[Unit]","Surgery","6","1","11","37","23","22","42","29","42","43","43","35","59","91","80","88","83",
"Jeju","Total","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Received Person[Person]","Person","0","1","0","1","3","1","0","2","2","2","2","-","1","1","2","-","-",
"Jeju","Total","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Count[Unit]","Surgery","0","1","0","1","3","1","0","2","2","2","2","-","1","1","2","-","-",
"Jeju","Total","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Received Person[Person]","Person","866","965","913","963","713","437","388","417","426","448","403","472","465","458","475","469","478",
"Jeju","Total","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Count[Unit]","Surgery","871","974","914","966","715","455","388","417","426","449","407","476","469","462","475","473","479",
"Jeju","Total","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Received Person[Person]","Person","2448","2493","2342","2135","2220","2187","2241","2014","2198","2244","2261","2239","2224","2057","1991","1964","1910",
"Jeju","Total","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Count[Unit]","Surgery","2450","2497","2344","2135","2221","2202","2273","2016","2201","2246","2263","2241","2229","2067","1996","1974","1919",
"Jeju","Total","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Received Person[Person]","Person","39","41","44","62","55","58","74","81","238","236","246","259","264","265","288","272","280",
"Jeju","Total","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Count[Unit]","Surgery","40","43","46","64","59","59","80","82","250","259","256","272","273","279","295","277","297",
"Jeju","Total","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Received Person[Person]","Person","147","192","249","368","409","400","570","575","472","520","628","635","657","812","701","755","738",
"Jeju","Total","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Count[Unit]","Surgery","154","209","266","406","445","427","608","610","509","546","659","663","694","851","720","779","771",
"Jeju","Total","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Received Person[Person]","Person","37","34","31","24","100","135","131","134","125","126","118","139","131","164","170","199","191",
"Jeju","Total","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Count[Unit]","Surgery","37","34","31","25","101","135","135","136","128","129","120","139","135","167","174","204","194",
"Jeju","Total","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Received Person[Person]","Person","154","122","67","80","32","48","68","57","66","78","70","69","44","60","70","88","64",
"Jeju","Total","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Count[Unit]","Surgery","158","128","67","83","32","48","68","57","66","80","70","69","45","60","70","88","64",
"Jeju","Total","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Received Person[Person]","Person","1","1","0","2","1","0","0","2","","","-","2","1","3","2","-","-",
"Jeju","Total","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Count[Unit]","Surgery","1","1","0","2","1","0","0","2","","","-","2","1","3","2","-","-",
"Jeju","Total","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Received Person[Person]","Person","6","12","13","12","15","16","33","35","38","40","40","34","38","33","40","53","33",
"Jeju","Total","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Count[Unit]","Surgery","6","12","13","12","15","16","35","37","40","41","44","35","38","33","41","54","33",
"Jeju","Total","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Received Person[Person]","Person","64","59","50","88","75","82","101","79","105","104","77","70","86","78","86","72","69",
"Jeju","Total","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Count[Unit]","Surgery","64","59","50","88","75","82","102","79","106","106","77","70","87","78","86","73","70",
"Jeju","Total","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Received Person[Person]","Person","9","14","7","11","13","17","11","20","33","25","37","19","37","44","41","37","18",
"Jeju","Total","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Count[Unit]","Surgery","9","14","7","11","13","17","11","20","33","25","37","19","40","44","41","38","18",
"Jeju","Total","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Received Person[Person]","Person","156","165","159","203","198","180","203","226","236","234","247","239","214","224","240","240","269",
"Jeju","Total","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Count[Unit]","Surgery","255","264","225","285","301","218","267","305","318","354","334","322","283","288","303","327","354",
"Jeju","Total","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Received Person[Person]","Person","120","131","164","200","246","242","322","254","229","159","131","140","158","191","137","163","166",
"Jeju","Total","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Count[Unit]","Surgery","121","132","164","202","251","242","325","255","238","161","132","142","158","191","138","164","166",
